Wort, reviewFrequency, reviewDate
bald,B,2025-04-13
der Balkon,,
die Banane,,
die Bank,B,2024-10-27
bar,,
der Bauch,M,2025-09-01
der Baum,B,2024-11-19
der Beamte,,
bedeuten,B,2024-02-21
beginnen,B,2025-02-25
bei,B,2024-05-07
beide,B,2024-05-07
das Bein,B,2025-04-03
das Beispiel,B,2024-09-26
zum Beispiel,B,2025-04-03
bekannt,B,2025-02-25
die Bekannte,B,2024-11-19
bekommen,,
benutzen,M,2025-09-01
der Beruf,B,2024-02-05
besetzt,B,2025-04-13
besichtigen,,
besser,B,2024-10-28
bestellen,M,2025-09-01
besuchen,3M,2025-09-03
das Bett,B,2025-02-25
bezahlen,B,2025-04-06
das Bier,B,2025-01-13
das Bild,B,2024-05-20
billig,3M,2025-10-31
die Birne,B,2024-11-19
bisschen,,
bitte,B,2024-09-18
die Bitte,B,2024-10-28
bitten,3M,2025-10-31
bitter,B,2024-10-28
bleiben,B,2025-02-25
der Bleistift,B,2024-05-07
der Blick,B,2024-11-19
die Blume,B,2024-03-18
der Bogen,,
böse,,
brauchen,B,2025-02-25
breit,B,2024-01-28
der Brief,,
die Briefmarke,B,2025-02-25
bringen,B,2024-03-18
das Brot,B,2024-11-19
das Brötchen,B,2024-05-07
der Bruder,B,2024-03-18
das Buch,B,2025-05-13
der Buchstabe,B,2024-05-13
buchstabieren,B,2024-10-28
der Bus,B,2024-10-23
die Butter,B,2025-01-14
das Café,B,2025-04-14
die CD,B,2024-11-26
der Chef,,
circa,B,2024-09-10
der Computer,B,2024-05-07
da,,
die Dame,B,2025-05-15
daneben,3M,2025-10-31
danken,M,2025-09-01
der Dank,B,2024-11-26
danke,M,2025-09-01
dann,B,2024-11-26
das Datum,B,2024-01-28
dauern,B,2024-06-16
dein,B,2024-02-21
denn,,
dich,M,2025-09-08
dies,B,2024-03-18
dir,B,2024-03-18
die Disco,B,2024-11-26
der Doktor,B,2024-03-18
das Doppelzimmer,B,2024-01-28
das Dorf,,
dort,M,2025-09-08
draußen,B,2024-02-25
drucken,B,2024-03-18
der Drucker,,
drücken,,
durch,B,2024-05-07
die Durchsage,,
dürfen,B,2025-04-27
der Durst,B,2025-05-15
duschen,3M,2025-08-24
die Dusche,B,2024-05-28
die Ecke,M,2025-09-10
die Ehefrau,,
der Ehemann,B,2025-01-14
das Ei,,
eilig,B,2024-04-21
ein,B,2025-04-14
einfach,B,2024-05-08
der Eingang,B,2024-03-25
einkaufen,3M,2025-10-31
einladen,B,2024-10-27
die Einladung,B,2025-04-06
einmal,B,2025-02-01
einsteigen,M,2025-09-01
der Eintritt,B,2024-02-06
das Einzelzimmer,B,2024-10-08
die Eltern,B,2024-11-26
die E-Mail,B,2024-02-13
der Empfänger,B,2024-07-23
empfehlen,B,2024-11-26
enden,,
das Ende,,
entschuldigen,B,2025-02-25
die Entschuldigung,B,2024-05-08
das Ergebnis,,
erklären,B,2024-06-23
erlauben,T,2025-08-12
der Erwachsene,M,2025-09-01
erzählen,B,2025-02-01
es,,
essen,B,2024-03-25
das Essen,,
euer,B,2025-04-14
fahren,B,2024-05-08
der Fahrer,B,2024-02-06
die Fahrkarte,,
das Fahrrad,M,2025-09-01
falsch,3M,2025-09-17
die Familie,B,2024-03-25
der Familienname,B,2024-06-10
der Familienstand,T,2025-08-12
die Farbe,B,2024-02-25
das Fax,B,2024-09-30
Feier,M,2025-09-01
feiern,,
fehlen,B,2025-05-28
der Fehler,,
fernsehen,,
fertig,B,2024-11-27
das Feuer,B,2024-03-25
das Fieber,B,2025-01-14
der Film,B,2025-04-20
finden,B,2024-09-10
die Firma,B,2024-02-13
der Fisch,B,2024-09-10
die Flasche,B,2024-02-06
das Fleisch,B,2025-05-26
fliegen,B,2024-11-27
abfliegen,,
der Abflug,M,2025-09-01
der Flughafen,B,2024-05-20
das Flugzeug,B,2025-02-26
das Formular,B,2024-11-27
das Foto,B,2024-09-16
fragen,B,2024-05-30
die Frage,M,2025-09-01
die Frau,B,2024-05-08
frei,B,2025-05-28
die Freizeit,3M,2025-08-24
fremd,3M,2025-08-13
freuen,B,2024-02-07
der Freund,B,2024-03-25
früher,M,2025-09-01
frühstücken,B,2025-02-26
das Frühstück,,
die Führung,B,2024-03-25
für,M,2025-09-10
der Fuß,3M,2025-09-23
der Fußball,B,2025-01-20
der Garten,B,2024-03-26
der Gast,B,2024-06-24
geben,B,2024-06-24
geboren,B,2024-09-18
das Geburtsjahr,,
der Geburtsort,B,2025-02-26
der Geburtstag,B,2024-10-27
gefallen,,
gegen,B,2024-03-26
gehen,B,2024-10-27
gehören,3M,2025-09-28
das Geld,B,2025-04-23
das Gemüse,B,2024-03-26
das Gepäck,,
gerade,,
geradeaus,3M,2025-08-24
gerne,B,2024-03-26
das Geschäft,,
das Geschenk,3M,2025-09-03
die Geschwister,B,2024-03-26
das Gespräch,M,2025-09-10
gestern,B,2024-02-13
gestorben,,
das Getränk,,
das Gewicht,M,2025-09-10
gewinnen,B,2025-02-26
das Glas,B,2024-05-08
glauben,B,2024-03-26
gleich,T,2025-08-12
das Gleis,,
das Glück,B,2024-02-07
glücklich,B,2024-10-27
der Glückwunsch,B,2025-04-27
Grad,B,2024-02-08
gratulieren,B,2024-10-01
grillen,B,2024-04-10
groß,B,2024-04-10
die Größe,B,2024-04-10
die Großeltern,M,2025-09-10
die Großmutter,3M,2025-09-28
der Großvater,3M,2025-11-01
die Gruppe,B,2024-05-08
der Gruß,B,2024-11-28
gültig,3M,2025-09-29
günstig,,
gut,B,2024-05-08
das Haar,B,2024-05-09
haben,B,2024-02-13
das Hähnchen,,
die Halbpension,B,2024-04-10
die Halle,M,2025-09-10
hallo,M,2025-09-10
halten,3M,2025-09-06
die Haltestelle,,
die Hand,B,2024-05-09
das Handy,,
das Haus,B,2025-04-27
die Hausaufgabe,M,2025-09-10
die Hausfrau,B,2025-04-27
der Hausmann,B,2025-02-26
die Heimat,B,2024-04-10
heiraten,B,2024-02-13
heißen,B,2025-01-21
helfen,M,2025-09-10
hell,3M,2025-09-29
der Herd,B,2025-01-21
der Herr,B,2024-02-08
herzlich,M,2025-09-10
heute,B,2024-11-28
hier,B,2024-01-24
die Hilfe,M,2025-09-10
hinten,,
das Hobby,,
hoch,3M,2025-08-26
die Hochzeit,B,2024-04-10
holen,,
hören,3M,2025-08-26
das Hotel,B,2024-07-09
der Hund,,
der Hunger,,
ich,B,2024-04-11
ihr,W,2025-08-16
ihm,M,2025-09-10
ihn,3M,2025-08-13
immer,B,2025-02-27
in,B,2024-04-11
die Information,B,2025-02-27
international,B,2024-04-11
das Internet,B,2024-01-29
ja,B,2024-09-18
die Jacke,B,2024-09-18
jedem,M,2025-09-10
jetzt,,
der Job,B,2024-05-20
der Jugendliche,3M,2025-09-06
jung,M,2025-09-10
der Junge,,
der Kaffee,,
kaputt,B,2024-01-29
die Karte,B,2024-04-11
Kredit Karte,,
die Kartoffel,B,2024-04-11
die Kasse,3M,2025-08-13
kaufen,B,2025-04-30
kein,B,2024-01-29
kennen,B,2024-04-11
kennenlernen,B,2024-05-09
das Kind,B,2024-09-16
der Kindergarten,,
das Kino,B,2024-10-28
der Kiosk,,
klar,B,2025-04-30
die Klasse,B,2024-12-01
die Kleidung,3M,2025-09-29
klein,B,2024-04-11
kochen,B,2024-07-10
der Koffer,,
der Kollege,,
kommen,B,2024-04-11
können,,
das Konto,M,2025-09-10
der Kopf,B,2024-02-08
kosten,3M,2025-11-01
krank,B,2025-04-30
kriegen,,
die Küche,,
der Kuchen,,
der Kugelschreiber,,
der Kühlschrank,B,2025-03-02
kulturell,B,2025-03-02
sich kümmern,B,2024-07-10
der Kunde,B,2024-12-01
der Kurs,B,2024-02-13
kurz,,
lachen,B,2025-04-30
der Laden,,
das Land,B,2025-02-01
er lang,B,2024-07-15
lange,B,2024-05-16
langsam,B,2024-04-14
laufen,M,2025-09-10
laut,B,2024-10-28
leben,B,2024-04-14
das Leben,B,2025-04-30
die Lebensmittel,B,2025-05-28
ledig,3M,2025-08-30
legen,B,2024-05-30
der Lehrer,B,2025-04-30
leicht,B,2024-07-15
leider,B,2025-05-29
leise,3M,2025-08-30
lernen,B,2024-05-20
lesen,B,2024-12-01
letzt,B,2025-03-02
die Leute,B,2024-05-30
das Licht,M,2025-09-10
lieben,B,2025-05-06
lieber,B,2024-02-14
Lieblings,,
das Lied,,
liegen,B,2025-05-29
links,B,2025-05-06
der Lkw,B,2025-05-29
das Lokal,B,2024-05-16
die Lösung,M,2025-09-10
lustig,B,2025-05-29
machen,B,2024-05-21
das Mädchen,B,2024-04-14
man,3M,2025-08-27
der Mann,B,2025-05-06
männlich,B,2025-05-07
die Maschine,B,2024-01-30
das Meer,B,2024-10-29
mehr,B,2025-05-07
mein,,
meist,B,2025-03-02
der Mensch,3M,2025-11-01
mieten,,
die Miete,M,2025-09-10
die Milch,B,2024-10-29
mit,,
mitbringen,3M,2025-11-01
mitkommen,B,2024-04-14
mitmachen,B,2024-04-14
mitnehmen,,
die Mitte,B,2024-02-14
die Möbel,3M,2025-09-06
möchten,B,2025-01-27
mögen,M,2025-09-10
möglich,,
der Moment,B,2025-01-27
morgen,B,2024-12-02
müde,,
der Mund,B,2024-02-14
müssen,B,2024-05-16
die Mutter̈,B,2024-12-02
nach,B,2025-01-27
nächst,,
der Name,,
nehmen,B,2025-06-01
nein,B,2024-04-14
neu,3M,2025-09-29
nicht,B,2024-12-02
nichts,M,2025-09-10
nie,B,2024-10-04
noch,B,2025-01-28
normal,,
die Nummer,B,2025-03-02
nur,M,2025-09-10
oben,B,2024-06-11
das Obst,,
oder,B,2024-04-17
öffnen,B,2024-05-16
geöffnet,W,2025-08-14
oft,B,2024-04-14
ohne,B,2024-12-02
das Öl,B,2024-05-16
die Oma,B,2025-05-07
der Opa,,
die Ordnung,B,2024-05-19
der Ort,B,2024-02-15
das Papier,B,2024-02-15
die Papiere,W,2025-08-14
der Partner,B,2025-03-02
die Partnerin,,
die Party,W,2025-08-14
der Pass,,
die Pause,B,2024-05-19
der Plan,B,2024-12-03
der Platz,,
die Polizei,B,2024-04-14
die Pommes frites,B,2024-05-19
die Post,,
die Postleitzahl,B,2024-04-17
das Praktikum,B,2024-12-03
die Praxis,B,2024-07-16
der Preis,,
das Problem,,
der Prospekt,W,2025-08-14
die Prüfung,B,2024-09-16
pünktlich,B,2024-09-16
Rad fahren,B,2024-04-17
rauchen,,
der Raum,,
die Rechnung,,
rechts,B,2024-04-17
regnen,B,2024-02-15
der Regen,,
der Reis,B,2024-06-11
reisen,3M,2025-08-27
die Reise,B,2024-02-18
das Reisebüro,B,2024-02-18
der Reiseführer,B,2025-03-03
reparieren,B,2024-05-21
die Reparatur,,
das Restaurant,W,2025-08-14
die Rezeption,,
richtig,,
riechen,B,2024-04-17
ruhig,,
der Saft,3M,2025-09-06
sagen,B,2024-10-29
der Salat,B,2024-09-16
das Salz,,
Satz,W,2025-08-16
die S-Bahn,3M,2025-09-17
der Schalter,B,2024-12-03
scheinen,B,2024-05-19
schicken,B,2025-03-03
das Schild,3M,2025-09-06
der Schinken,3M,2025-09-06
schlafen,,
schlecht,,
schließen,W,2025-08-14
geschlossen,B,2024-09-16
der Schluss,W,2025-08-16
der Schlüssel,B,2024-04-17
schmecken,B,2024-12-03
schnell,B,2024-05-19
schon,W,2025-08-14
schön,B,2024-06-13
der Schrank,B,2024-02-18
schreiben,B,2025-05-07
der Schuh,B,2025-02-02
die Schule,B,2024-12-03
der Schüler,,
schwer,B,2024-11-04
die Schwester,B,2024-04-17
schwimmen,W,2025-08-16
das Schwimmbad,B,2024-07-30
der See,B,2024-05-19
sehen,B,2024-04-21
die Sehenswürdigkeit,W,2025-08-16
sehr,B,2024-04-21
sein,B,2025-05-11
an sein,,
auf sein,3M,2025-09-17
weg sein,B,2024-05-19
zu sein,W,2025-08-16
seit,B,2025-05-11
selbstständig,W,2025-08-18
sich,B,2024-11-04
sie,B,2024-12-03
Sie,,
sitzen,B,2024-02-18
so,B,2024-04-21
das Sofa,B,2024-06-13
sofort,,
der Sohn,B,2024-07-31
sollen,B,2024-11-04
die Sonne,3M,2025-08-27
spät,,
später,W,2025-08-16
die Speisekarte,B,2024-05-21
spielen,B,2024-02-26
der Sport,B,2025-03-04
die Sprache,B,2024-06-13
sprechen,B,2025-05-11
die Stadt,B,2024-04-21
stehen,,
die Stelle,B,2024-11-04
stellen,W,2025-08-18
der Stock,W,2025-08-16
die Straße,B,2024-12-04
die Straßenbahn,,
studieren,W,2025-08-16
das Studium,B,2024-04-24
der Student,B,2025-06-01
die Stunde,B,2024-04-21
suchen,B,2024-06-13
tanzen,B,2024-02-26
die Tasche,B,2024-04-21
das Taxi,B,2025-02-02
der Tee,,
der Teil,B,2025-05-11
telefonieren,B,2024-06-13
das Telefon,B,2024-04-24
der Termin,B,2024-12-04
der Test,B,2024-02-26
teuer,W,2025-08-16
der Text,W,2025-08-16
das Thema,B,2025-05-11
das Ticket,B,2024-09-17
der Tisch,W,2025-08-16
die Tochter,B,2024-02-26
die Toilette,,
die Tomate,B,2025-02-03
tot,B,2024-06-16
treffen,W,2025-08-16
die Treppe,B,2025-02-03
trinken,,
tschüss,B,2025-02-03
tun,B,2024-04-29
über,B,2025-06-02
übernachten,,
überweisen,B,2025-02-03
die Uhr,B,2024-06-16
um,W,2025-08-16
umziehen,B,2024-06-16
und,B,2024-04-29
unser,,
unten,,
unter,,
der Unterricht,3M,2025-11-07
unterschreiben,B,2024-04-29
die Unterschrift,W,2025-08-16
der Urlaub,B,2024-06-16
der Vater,B,2024-06-16
verboten,B,2024-04-29
verdienen,W,2025-08-18
der Verein,W,2025-08-18
verheiratet,B,2024-04-29
verkaufen,T,2025-07-21
der Verkäufer,B,2024-09-17
vermieten,B,2024-04-24
der Vermieter,B,2024-09-17
verstehen,,
der Verwandte,T,2025-07-21
viel,,
vielleicht,,
von,B,2024-07-31
vor,,
der Vorname,B,2025-04-09
die Vorsicht,T,2025-07-21
vorstellen,B,2025-02-03
die Vorwahl,B,2024-11-05
wandern,,
wann,,
warten,B,2024-04-24
warum,B,2024-12-04
was,B,2025-02-03
waschen,T,2025-07-21
das Wasser,,
weh tun,,
weiblich,B,2024-07-31
der Wein,,
weit,B,2024-09-17
weiter,,
welch,B,2024-11-05
die Welt,B,2024-11-05
wenig,B,2025-04-09
wer,B,2024-12-04
werden,B,2024-07-31
das Wetter,B,2025-05-12
wichtig,B,2024-09-17
wie,B,2024-08-21
wiederholen,B,2025-02-04
das Wiederhören,B,2025-05-12
das Wiedersehen,,
wie viel,B,2025-02-04
willkommen,,
der Wind,,
wir,B,2024-04-25
wissen,T,2025-07-21
wo,T,2025-07-21
woher,3M,2025-08-30
wohin,,
wohnen,,
die Wohnung,B,2024-04-29
wollen,B,2025-04-10
das Wort,,
wunderbar,B,2025-04-10
zahlen,,
die Zeit,B,2024-11-06
zurzeit,T,2025-07-21
die Zeitung,T,2025-07-21
die Zigarette,B,2024-08-21
das Zimmer,B,2024-04-25
der Zoll,T,2025-07-21
zu,T,2025-07-21
zufrieden,B,2024-12-04
der Zug,,
zurück,T,2025-07-21
zusammen,3M,2025-09-14
zwischen,T,2025-07-21
