Wort, reviewFrequency, reviewDate
Name,B,2025-01-05
Adresse,B,2025-09-02
Telefon,B,2024-09-30
Geburtsdatum,,
Geburtsort,,
Alter,M,2025-09-10
Wohnung,3M,2025-09-29
Räume,3M,2025-12-01
Einrichtung,3M,2025-12-01
Möbel,B,2025-01-05
Pflanzen,B,2024-03-11
Tiere,3M,2025-12-01
Klima,,
Wetter,,
Nahrungsmittel,B,2025-09-02
Mahlzeiten,,
Speisen,B,2024-02-04
Getränke,B,2025-06-25
Lokale,B,2025-02-24
Restaurant,B,2024-04-29
Café,B,2025-03-26
Post,3M,2025-12-01
Telekommunikation,,
Banken,B,2024-05-01
Polizei,B,2024-06-09
Arbeitsplatz,B,2024-05-01
Urlaub,B,2025-02-24
Geschlecht,,
Familienstand,3M,2025-10-31
Familie,B,2024-01-28
Persönliche,B,2024-06-09
Beziehungen,,
Staatsangehörigkeit,B,2025-06-25
Nationalität,,
Herkunft,B,2024-05-01
Aussehen,B,2024-02-04
Gewohnheiten,,
Tagesablauf,,
Haushalt,,
technische,B,2024-11-18
Einrichtungen,B,2024-09-10
Miete,B,2024-03-11
Mietverhältnis,,
Wohnungswechsel,B,2024-05-06
privater,B,2024-05-01
öffentlicher,B,2025-03-26
Verkehr,3M,2025-12-01
Reisen,B,2024-06-09
Unterkunft,B,2024-04-17
Gepäck,B,2025-03-26
Geschäfte,B,2025-06-25
Preis,3M,2025-12-01
Bezahlen,B,2024-05-01
Lebensmittel,,
Kleidung,3M,2025-12-01
Kinderbetreuung,,
Schule,B,2025-06-25
Sprachen lernen,,
Interessen,,
Sport treiben,B,2024-05-21
Radio,B,2025-06-25
Fernsehen,3M,2025-12-01
Internet,,
Lektüre,B,2024-07-09
Presse,B,2025-06-25
eins,B,2024-05-20
zwei,B,2024-06-09
drei,B,2025-06-29
vier,B,2024-11-24
fünf,B,2024-06-09
sechs,,
sieben,B,2025-02-24
acht,B,2025-01-13
neun,B,2024-03-11
zehn,B,2024-02-13
elf,,
zwölf,,
dreizehn,B,2024-01-28
vierzehn,3M,2025-10-21
fünfzehn,,
sechzehn,B,2025-02-01
siebzehn,B,2025-09-08
achtzehn,B,2025-06-29
neunzehn,B,2025-05-06
zwanzig,B,2024-03-11
einundzwanzig,,
dreißig,B,2025-03-30
vierzig,B,2024-03-11
fünfzig,B,2025-02-01
sechzig,B,2024-06-09
siebzig,B,2024-06-09
achtzig,B,2024-05-06
neunzig,B,2024-02-21
einhundert,B,2025-05-06
hunderteins,B,2024-10-08
zweihundert,,
eintausend,,
eine Million,B,2024-10-27
eine Milliarde,B,2025-06-29
erste,B,2024-06-09
zweite,,
dritte,B,2024-09-30
vierte,B,2024-01-24
halb,,
Viertel,B,2024-05-01
neunzehnhundertneunundneunzig,B,2024-06-10
zweitausendvierzehn,,
Uhr,B,2025-01-05
Minuten,,
Sekunde,,
Wochentag,B,2024-09-10
Sonntag,B,2025-01-05
Montag,,
Dienstag,B,2025-05-06
Mittwoch,,
Donnerstag,B,2024-01-24
Freitag,3M,2025-10-31
Samstag,3M,2025-12-07
Sonnabend,,
Tag,,
Morgen,B,2025-09-08
Vormittag,B,2024-05-01
Mittag,B,2025-02-01
Januar,B,2024-03-13
Februar,B,2024-04-29
März,,
April,B,2024-01-28
Mai,,
Juni,B,2025-01-05
Tag,B,2024-03-13
Woche,B,2024-02-13
Jahr,B,2025-03-30
Wochenende,B,2025-01-13
Nachmittag,B,2024-05-28
Abend,3M,2025-12-07
Nacht,B,2024-03-13
Juli,B,2024-05-01
August,3M,2025-10-31
September,B,2025-03-30
Oktober,B,2025-06-29
November,B,2024-06-11
Dezember,,
Frühling,,
Frühjahr,,
Sommer,B,2025-03-30
Herbst,B,2024-09-26
Winter,B,2024-05-06
Euro,3M,2025-10-31
Cent,3M,2025-10-31
Meter,,
Zentimeter,B,2024-05-06
Kilometer,B,2024-03-13
Quadratmeter,,
Grad,,
Prozent,,
Liter,B,2024-02-21
Gramm,3M,2025-12-07
Pfund,B,2025-05-06
Kilo,B,2024-05-21
Deutschland,,
Deutsche,B,2025-05-06
Deutscher,3M,2025-12-07
Deutsche,B,2024-04-29
deutsch,,
Europa,B,2025-02-01
Europäer,B,2024-05-06
europäisch,,
Farben,,
schwarz,B,2024-05-28
grau,,
weiß,B,2025-03-30
rot,,
Norden,B,2024-05-06
Süden,,
blau,,
gelb,B,2025-05-11
Westen,B,2024-03-13
braun,,
Osten,,
ab,B,2024-08-18
aber,B,2025-05-11
abfahren,B,2024-03-13
die Abfahrt,,
abgeben,,
abholen,B,2024-05-06
der Absender,B,2025-03-30
Achtung,,
die Adresse,B,2025-09-08
allein,B,2024-02-21
also,B,2024-02-21
alt,B,2025-09-08
das Alter,,
an,B,2024-11-18
anbieten,T,2025-09-09
das Angebot,B,2024-06-11
ander,B,2024-05-06
anfangen,B,2024-05-21
der Anfang,B,2024-05-20
anklicken,,
ankommen,B,2024-11-24
die Ankunft,B,2025-09-08
ankreuzen,B,2024-11-18
anmachen,B,2024-03-13
anmelden,M,2025-09-01
die Anmeldung,,
die Anrede,B,2025-02-05
anrufen,,
der Anruf,M,2025-09-01
beantworter,,
die Ansage,B,2024-02-18
der Anschluss,,
sein,,
antworten,B,2024-06-10
die Antwort,B,2024-09-30
die Anzeige,B,2024-05-28
anziehen,M,2025-09-10
das Apartment,B,2025-02-24
der Apfel,B,2024-06-10
der Appetit,,
arbeiten,,
die Arbeit,B,2024-05-06
arbeitslos,M,2025-09-10
der Arbeitsplatz,B,2025-05-11
der Arm,M,2025-09-10
der Arzt,B,2025-01-07
auch,B,2024-10-21
auf,,
die Aufgabe,B,2024-01-28
aufhören,M,2025-09-10
aufstehen,M,2025-09-10
der Aufzug,B,2025-05-25
das Auge,,
aus,,
der Ausflug,,
ausfüllen,M,2025-09-10
der Ausgang,B,2024-09-26
die Auskunft,,
das Ausland,B,2025-05-11
der Ausländer,B,2024-11-18
ausländisch,,
ausmachen,,
die Aussage,M,2025-09-10
aussehen,M,2025-09-10
aus sein,T,2025-08-12
aussteigen,B,2024-03-18
der Ausweis,B,2025-04-03
ausziehen,T,2025-08-12
das Auto,B,2025-04-14
die Autobahn,,
der Automat,B,2024-09-26
automatisch,B,2024-10-27
das Baby,B,2024-05-07
die Bäckerei,3M,2025-08-24
das Bad,B,2025-01-26
baden,B,2025-01-13
die Bahn,B,2024-09-10
der Bahnhof,,
der Bahnsteig,B,2025-02-01
